Sports,# of Injuries,0 to 4,5 to 14,15 to 24,25 to 64,65+,Male,Female
Baseball,168906,2684,70895,50711,40897,3714,105424,63482
Baskeball,435452,1768,150613,200310,80646,2116,353562,81890
Bicycles,26762,13708,114235,62636,193590,40144,314682,109664
Bowling,16544,1253,1844,1786,8729,2932,8663,7861
Boxing,15229,30,966,7195,6878,160,12337,2892
Exercise Equipment,498498,9396,50518,99162,263198,76224,274860,223638
Fishing,60218,1591,10060,8262,31261,9045,47298,12921
Football,296944,991,152038,117831,25446,638,278607,18338
Golf,55007,1553,6011,4507,17288,25668,40079,14928
Hockey,39761,286,13954,15508,9767,246,33009,6752
Horsebak Riding,39410,576,6889,8230,19336,4379,11565,27864
Martial Arts,27596,385,7910,5973,12918,410,19258,8338
Racquet Sports,24330,51,3745,4191,8509,7834,13448,10882
Skateboards,124933,2361,41356,43209,36378,1629,87076,37857
Skating,124933,713,30892,12498,22744,888,23143,44592
Soccer,199096,1341,88466,77912,30918,454,135447,63644
Swimming,194933,21710,82432,31161,49132,10498,103820,91026
Volleyball,55075,0,19348,24226,10405,1096,16149,38926
Surfing,18828,134,3340,5633,8740,980,12405,6423